Nr.,Planungsraum,,Status 1,Status 2,Status 3,Status 4,Status 5, Status 6,Dynamik 1,Dynamik 2,Dynamik 3,Dynamik 4,Dynamik 5,Dynamik 6,E 1,E 2,E 3,E 4,E 5,E 6,E 7,E 8,E 9,E 10,E 11,E 12,E 13,E 14,E 15,E 16,E 17,E 18,E 19,E 20,E 21,E 22,      E 23
08010118,Silbersteinstraße,"10,594  ",16.0,9.4,5.7,34.4,70.8,87.5,37.6,0.3,-3.1,-0.6,0.1,-4.0,20.7,0.3,0.0,8.3,20.5,12.1,38.2,60.3,32.2,89.1,14.2,6.3,0.8,4.6,3.1,5.3,4.0,8.4,-2.1,-0.6,-0.8,30.1,39.3
08010211,Flughafenstraße,"9,236  ",13.6,7.9,4.7,28.3,66.1,86.2,43.2,0.0,-4.5,-1.5,-1.8,0.4,23.1,0.1,0.1,6.4,17.9,9.4,43.4,60.4,38.7,83.3,14.6,5.4,0.7,7.3,5.0,5.3,3.3,10.3,-2.1,-1.2,-1.0,26.5,30.3
08010212,Rollberg,"6,957  ",14.9,8.6,5.6,38.8,71.8,88.9,28.8,-0.6,-5.8,-1.6,-1.8,-5.1,17.1,-0.8,-0.1,8.7,23.2,12.3,35.9,66.9,21.9,93.0,17.7,4.2,0.3,4.3,2.3,3.7,2.9,6.0,-4.0,-2.8,-1.5,28.6,44.2
08010213,Körnerpark,"11,275  ",14.8,8.4,5.4,30.1,66.3,80.7,40.8,0.9,-7.3,-0.5,-1.1,-1.6,24.8,0.6,0.0,6.7,17.5,10.4,39.4,55.5,37.3,82.5,13.1,6.0,0.6,6.3,3.6,6.1,3.9,9.7,-2.7,-2.6,-1.0,30.1,33.0
08010214,Glasower Straße,"7,361  ",15.5,8.6,5.6,31.1,68.7,81.5,37.4,1.9,-0.6,-0.3,-2.6,0.4,21.4,0.7,-0.1,7.1,19.2,12.3,36.7,56.3,30.0,79.1,12.4,5.4,0.5,6.2,3.1,6.0,4.0,9.0,-1.6,-1.4,-0.7,28.3,34.7
08010301,Reuterkiez,"27,088  ",11.7,7.5,4.1,22.7,59.5,75.7,36.7,0.4,-9.1,-1.5,-1.8,-4.1,23.1,-0.1,-0.1,6.1,14.4,9.0,31.6,47.4,24.5,69.8,9.7,2.8,0.6,4.3,6.1,3.7,2.6,9.8,-1.9,-0.7,-0.8,22.3,29.0
08010302,Bouchéstraße,"3,578  ",12.8,8.3,4.9,22.4,64.1,57.9,26.8,1.0,2.8,-0.6,-1.4,-1.1,19.6,0.2,0.0,3.7,12.5,19.2,17.2,28.7,18.0,67.2,5.6,2.3,1.3,2.8,1.9,2.0,1.6,3.9,-1.5,-0.3,-0.4,22.3,36.4
08010303,Donaustraße,"7,854  ",13.1,7.1,4.5,30.7,67.0,86.7,40.2,1.0,-5.6,-0.9,-1.5,-0.6,18.6,0.3,0.0,6.2,17.3,7.9,43.5,60.4,39.0,86.6,14.8,6.0,0.6,8.1,5.0,4.8,2.6,9.8,-2.7,-3.4,-1.2,29.4,33.1
08010404,Rixdorf,"21,180  ",13.6,7.9,4.7,28.9,66.4,79.5,38.9,2.4,-5.3,-1.6,-1.5,-2.0,22.4,1.4,0.1,6.6,17.7,9.1,37.1,54.0,32.9,80.2,11.2,5.3,0.6,7.0,3.7,5.6,4.4,9.3,-2.8,-2.3,-1.5,26.9,32.6
08010405,Hertzbergplatz,"8,247  ",13.1,8.3,4.3,25.4,68.1,72.7,35.3,0.3,-9.7,-0.9,-0.5,4.5,20.8,0.4,-0.1,5.8,15.5,14.4,30.1,43.7,30.9,74.1,8.4,4.1,1.5,5.0,2.7,5.2,3.4,7.9,-1.8,-0.6,-0.8,23.6,32.1
