NR,Ebene,Gebiet,Einwohner,Dynamik1,Dynamik2,Dynamik4,Dynamik5,Dynamik3,Dynamik6,Status1,Status2,Status3,Status5,Status6,,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11
12214128,Planungsraum,Tegeler Forst,161,116.2,36.9,-0.6,-0.9,44.4,3.8,0,0,0,3.8,0,,18,5.6,14.3,0,0,1.9,0,6.2,2.5,2.5,0
12224229,Planungsraum,Konradshöhe/Tegelort,"6,063",16.1,-0.3,0.3,0.0,3.8,0.4,4.9,3.5,1.6,6.3,3.4,,16,22.4,4.3,0.3,0,0.4,0.7,0.9,0.7,0.6,4.3
12224230,Planungsraum,Heiligensee,"17,681",15.8,-0.2,-0.3,-2.3,4.8,1,5.1,4,1.6,6,1.6,,16.5,20.6,3.2,0.3,0,0.1,0.3,1.1,0.4,0.3,2
12231101,Planungsraum,Hermsdorf,"16,678",18.1,-1.2,-0.6,-0.7,1.6,0.8,4.9,2.8,1.9,5.4,2.1,,16.1,22.9,4,0.2,0.1,0.3,0.3,1.5,0.6,0.6,2.5
12231102,Planungsraum,Frohnau,"17,151",18.1,0.2,-0.3,0.9,8,-0.2,4,1.6,1.5,3.2,2.1,,17.1,24.6,3.9,0.3,0.2,0.3,0.3,1.4,0.5,0.4,2.5
12301203,Planungsraum,Wittenau-Süd,"13,180",20.7,-0.1,-0.2,-0.5,0,4.4,10.7,8.2,3.8,29,6.4,,12.1,25.6,7.9,1.8,1,0.3,0.9,1.2,1.3,1,9.4
12301204,Planungsraum,Wittenau-Nord,"6,068",19.9,1.1,0.3,-0.5,1.8,1.4,5.7,6.6,1.9,9.2,6.7,,18.3,19.2,7.9,0.9,0.2,0.2,0.2,4.2,1,1,8.1
12301205,Planungsraum,Waidmannslust,"4,949",20.5,1.8,0.1,3.0,6.8,1.4,7.2,3.3,2.8,13.1,5.3,,15.8,21.6,5.7,0.4,0.2,0.4,0.6,1.7,0.8,0.7,5.3
12301206,Planungsraum,Lübars,"4,982",15.2,-0.7,-0.8,0.5,2.7,-0.5,5.9,5.3,2,6.5,2.8,,17.2,19.9,3.7,0.5,0.1,0.2,0.1,1.2,0.7,0.6,3.2
12302007,Planungsraum,Schorfheidestr.,"2,894",15.7,-0.7,-1.4,-1.0,-2,0.9,6.5,3.9,2.2,13.9,7.6,,15.9,20.8,7.1,2.7,0.3,0.4,0.7,1,0.7,0.6,10.4
12302008,Planungsraum,Märkisches Zentrum,"13,132",27.1,0.3,-0.4,-4.8,5,2.8,17.3,14.5,6.7,57.8,9.3,,19.3,23.3,9.4,3,0.6,0.6,0.9,0.9,1.6,1.5,13.2
12302009,Planungsraum,Treuenbrietzener Str.,"10,260",30.8,-0.8,-0.2,4.3,0.4,3.5,20.8,14.5,8.2,74.2,15.9,,23,18.7,14.1,4,1.4,1.1,1.6,1.8,1.9,1.8,20.2
12302010,Planungsraum,Dannenwalder Weg,"9,079",29.2,2.1,0.5,0.8,19.2,9,16.5,15,6.3,57.6,13.3,,21.8,18.8,12.1,4.1,1,0.5,1.7,1.5,1.7,1.6,17.2
12302011,Planungsraum,Lübarser Straße,"3,352",22.4,-1.2,0.4,3.0,4.4,2.4,9.8,9.7,3.8,16.5,6.1,,14.6,26.5,6.7,1.4,0,0.2,1.4,0.8,1.3,1.2,8.6
12302012,Planungsraum,Rollbergesiedlung,"5,107",23.4,-3.8,-0.3,-1.4,-4.6,4.5,16.2,12.7,6.7,51.8,9.8,,19.9,20.5,10.9,3.6,0.6,0.4,1,1.3,2.7,2.6,12.7
12304313,Planungsraum,Borsigwalde,"6,360",25.4,0.8,-0.6,-1.1,-0.4,-1.3,11.1,8.5,4.2,23.6,3.3,,12,21.1,7.1,1.1,0.2,0.2,1,2,1.2,0.9,4
12304314,Planungsraum,Ziekowstraße/Freie Scholle,"9,783",17.6,-0.2,0.6,-0.4,0.8,1.2,9,5.8,3.3,17.3,2.2,,12.8,26.3,4.5,1.1,0.1,0.2,0.6,0.8,0.9,0.7,3.2
,,,,,,-0.2,-0.7,,,,,,,,,,,,,,,,,,,
,Berlin-Berlin,Berlin,"3,348,804",27.9,0.4,-0.7,2.2,13.1,9.5,5.6,38.5,12.4,,14.8,18,14,3.5,1,1,1.5,2.3,1.6,1.3,16.3,,
