Nummer,Name,EW 31.12.2014,Status-Index                    (Klasse),,Dynamik-Index             (Klasse),,Status/Dynamik-Index                                                    (Gruppe),,S1,S2,S3,S4,D1,D2,D3,D4,S4 new,EW 31.12. 2014,zS1,zS2,zS3,zS4,Status-summe,Status-Index (standardisierte Statussumme),Zuordnung Klasse Status-Index ,zD1,zD2,zD3,zD4,Dynamik-summe,Dynamik-Index (standardisierte Dynamik-summe),Zuordnung Klasse Dynamik-Index ,K 01,K 02,K 03,K04,K 05,K16,K 06,K 17,K 07,K 08,K 14,K 15,K 09,K 10,K 11,K 12,K 13
01022105,Zwinglistraße,"5,105",3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",9.97,2.77,24.86,65.72,-1.51,-0.72,-0.72,0.53,65.19,"5,105",0.77,0.28,1.46,1.86,4.37,1.13,niedrig,-0.82,-0.82,-0.51,0.52,-1.63,-0.60,stabil,5.77,28.21,15.66,82.90,54.24,32.26,1.36,60.90,39.21,0.93,1.50,32.92,100.00,53.08,37.74,1.75,-5.43
01022106,Elberfelder Straße,"11,731",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.65,1.68,10.99,19.99,-0.48,-0.55,-0.85,-3.40,23.38,"11,731",-0.23,-0.62,-0.14,-0.42,-1.40,-0.36,mittel,0.20,-0.47,-0.63,-0.79,-1.69,-0.62,stabil,2.80,24.12,6.68,54.91,34.44,20.53,4.35,62.50,20.64,0.67,1.82,40.54,4.82,58.40,38.62,3.48,4.14
01022201,Stephankiez,"10,469",2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",8.57,2.21,17.68,42.53,-1.72,-0.89,-2.08,-8.66,51.19,"10,469",0.35,-0.19,0.64,0.70,1.50,0.39,mittel,-1.03,-1.15,-1.78,-2.55,-6.51,-2.40,positiv,3.45,25.57,12.43,69.02,45.70,27.03,0.95,57.88,30.59,0.26,1.73,38.67,100.00,52.21,34.85,1.26,-5.48
01022202,Heidestraße,"1,448",3,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv",13.41,3.30,28.45,50.94,0.65,-1.21,-6.20,-15.16,66.11,"1,448",1.80,0.73,1.88,1.12,5.54,1.43,niedrig,1.31,-1.80,-5.62,-4.73,-10.84,-4.00,positiv,6.02,28.34,16.88,84.66,63.81,32.18,1.42,79.40,50.74,13.94,1.48,32.99,100.00,62.79,23.98,-2.25,-10.45
01022203,Lübecker Straße,"6,773",3,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv",10.73,3.02,25.51,55.17,-1.88,-1.44,-0.66,1.58,53.59,"6,773",1.00,0.49,1.54,1.33,4.36,1.13,niedrig,-1.18,-2.26,-0.46,0.88,-3.03,-1.12,positiv,5.38,31.18,18.34,82.66,56.25,31.77,-1.16,68.82,42.09,13.00,1.54,32.35,43.08,60.45,30.70,-0.23,-8.38
01022204,Thomasiusstraße,"5,826",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.77,1.77,11.28,21.35,-1.18,-0.91,-0.60,-2.43,23.78,"5,826",-0.19,-0.55,-0.10,-0.35,-1.19,-0.31,mittel,-0.49,-1.20,-0.39,-0.47,-2.55,-0.94,stabil,3.47,25.88,7.32,54.80,36.37,22.78,1.94,48.30,18.68,0.11,1.88,43.42,7.83,57.63,32.30,1.15,-2.62
01022205,Zillesiedlung,"3,207",2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",9.58,2.41,25.13,45.12,-1.12,-1.19,-2.68,-8.74,53.86,"3,207",0.65,-0.02,1.50,0.83,2.96,0.77,mittel,-0.43,-1.77,-2.34,-2.58,-7.12,-2.63,positiv,6.51,24.33,18.13,83.73,56.16,29.50,0.74,77.06,36.14,17.77,1.28,30.44,100.00,55.96,28.31,1.31,0.26
01022206,Lüneburger Straße,"3,060",2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",6.62,1.46,13.17,25.90,-1.72,-1.20,0.67,-3.90,29.79,"3,060",-0.24,-0.81,0.11,-0.12,-1.06,-0.27,mittel,-1.02,-1.79,0.79,-0.96,-2.98,-1.10,positiv,4.04,31.94,9.68,62.67,37.42,19.74,0.91,52.98,25.50,0.00,1.77,43.19,0.00,60.61,29.46,0.50,-6.65
01022207,Hansaviertel,"5,477",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.72,1.53,9.51,25.56,-0.79,-0.38,-0.12,-0.92,26.48,"5,477",-0.51,-0.75,-0.31,-0.14,-1.70,-0.44,mittel,-0.11,-0.13,0.05,0.04,-0.15,-0.06,stabil,1.07,26.55,9.04,55.33,40.02,27.66,2.06,55.12,12.87,1.19,2.00,43.52,0.00,59.95,34.44,1.17,-0.17
01033101,Soldiner Straße,"25,947",4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",13.25,4.18,31.79,68.88,-2.19,-1.18,0.46,0.28,68.60,"25,947",1.75,1.47,2.26,2.01,7.50,1.94,sehr niedrig,-1.49,-1.74,0.59,0.44,-2.19,-0.81,stabil,6.57,33.87,14.27,81.95,58.34,37.69,1.62,62.00,48.46,15.35,1.43,29.26,100.00,50.94,36.46,1.50,-2.28
01033102,Gesundbrunnen,"11,586",3,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv",11.23,2.91,28.53,64.12,-2.07,-1.45,0.28,-1.46,65.58,"11,586",1.15,0.40,1.89,1.78,5.21,1.35,niedrig,-1.37,-2.29,0.43,-0.14,-3.38,-1.24,positiv,5.60,27.00,13.29,83.83,58.80,37.15,1.69,64.85,46.58,8.52,1.47,29.92,100.00,54.73,34.28,1.64,0.10
01033201,Brunnenstraße,"12,885",4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",12.13,3.60,32.84,63.00,-1.57,-0.82,-0.40,-2.51,65.51,"12,885",1.42,0.98,2.39,1.72,6.51,1.68,sehr niedrig,-0.87,-1.01,-0.21,-0.49,-2.59,-0.95,stabil,6.35,21.52,16.73,88.63,64.42,29.82,-0.31,79.65,58.75,47.40,1.44,28.94,100.00,66.31,20.57,-0.33,-3.13
01033202,Humboldthain Süd,"9,697",3,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv",10.85,2.96,23.64,54.92,-1.30,-1.05,-0.67,-2.84,57.76,"9,697",1.03,0.44,1.32,1.32,4.12,1.07,niedrig,-0.61,-1.48,-0.46,-0.60,-3.16,-1.17,positiv,4.95,25.75,9.54,83.26,53.49,25.89,0.01,73.20,43.47,27.89,1.52,30.93,100.00,65.26,21.82,0.17,-3.60
01033203,Humboldthain Nordwest,"13,891",4,sehr niedrig,+,positiv,4+,"Status sehr niedrig, Dynamik positiv",12.69,3.59,31.80,69.17,-2.18,-1.36,-0.62,-1.29,70.46,"13,891",1.59,0.98,2.27,2.03,6.86,1.77,sehr niedrig,-1.48,-2.10,-0.42,-0.09,-4.08,-1.50,positiv,5.86,28.27,15.13,87.07,60.76,36.94,1.02,67.41,47.51,6.82,1.48,30.34,100.00,54.42,34.01,1.64,-3.45
