Nummer,Name,EW 31.12.2012,Statusindex                    (Gruppe),,Dynamikindex             (Gruppe),,Status/Dynamik-Index                                                    (Gruppe),,S1,S2,S3,S4,D1,D2,D3,D4,zS1,zS2,zS3,zS4,Status-summe,Statusindex (standardisierte Statussumme),Zuordnung Gruppe Statusindex ,zD1,zD2,zD3,zD4,Dynamik-summe,Dynamikindex (standardisierte Dynamik-summe),Zuordnung Gruppe Dynamik-index ,K 01,K 02,K 03,K04,K 05,K 06,K 07,K 08,K 09,K 10,K 11,K 12,K 13
01011101,Stülerstraße,"2,930",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.38,2.22,7.44,20.11,-0.83,-0.15,0.10,-1.45,-0.45,-0.37,-0.57,-0.51,-1.90,-0.49,mittel,-0.09,0.01,0.27,0.11,0.30,0.11,stabil,4.01,20.14,7.92,78.33,49.11,6.68,9.94,0.70,0.00,54.46,40.84,4.78,2.58
01011102,Großer Tiergarten,180,0,,0,,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00, ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01011103,Lützowstraße,"4,818",2,mittel,-,negativ,2-,"Status mittel, Dynamik negativ",9.31,3.11,18.51,40.28,-0.97,0.14,1.99,2.51,0.33,0.27,0.72,0.44,1.77,0.45,mittel,-0.24,0.59,2.13,1.26,3.75,1.33,negativ,4.03,28.64,17.27,84.87,54.09,1.94,24.22,9.24,14.38,55.39,40.93,0.56,-4.42
01011104,Körnerstraße,"3,913",3,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv",9.77,3.62,24.61,63.70,-0.88,0.37,-4.66,-9.01,0.46,0.64,1.42,1.55,4.07,1.05,niedrig,-0.15,1.08,-4.45,-2.10,-5.62,-2.00,positiv,6.52,24.63,33.06,85.37,63.71,0.41,33.88,7.78,53.69,47.82,37.64,2.38,-3.94
01011105,Nördlicher Landwehrkanal,996,1,hoch,-,negativ,1-,"Status hoch, Dynamik negativ",2.33,0.52,4.02,8.99,0.90,-0.12,1.14,-0.60,-1.54,-1.60,-0.97,-1.03,-5.15,-1.33,hoch,1.74,0.07,1.29,0.35,3.45,1.23,negativ,0.00,31.71,3.70,67.89,50.30,4.55,3.56,0.00,0.00,38.07,53.78,11.43,-5.95
01011201,Wilhelmstraße,"2,078",2,mittel,-,negativ,2-,"Status mittel, Dynamik negativ",6.42,1.90,8.81,30.73,0.86,0.16,0.79,-1.49,-0.44,-0.60,-0.41,-0.01,-1.47,-0.38,mittel,1.71,0.64,0.95,0.09,3.39,1.20,negativ,4.71,26.74,3.59,79.93,46.34,0.78,14.00,11.47,0.00,66.25,28.14,1.61,4.27
01011202,Unter den Linden Nord,472,1,hoch,+,positiv,1+,"Status hoch, Dynamik positiv",3.94,0.85,0.42,0.00,-1.40,-0.64,-2.05,-10.42,-1.11,-1.37,-1.38,-1.46,-5.32,-1.37,hoch,-0.69,-1.00,-1.87,-2.51,-6.07,-2.16,positiv,0.00,32.43,0.00,60.42,35.59,6.53,0.00,10.86,0.00,51.21,39.10,4.03,-8.08
01011203,Unter den Linden Süd,854,1,hoch,-,negativ,1-,"Status hoch, Dynamik negativ",3.73,0.93,3.16,13.64,0.49,0.93,0.04,4.68,-1.17,-1.30,-1.07,-0.81,-4.35,-1.12,hoch,1.31,2.24,0.21,1.89,5.64,2.01,negativ,0.00,38.33,0.00,70.00,43.91,3.21,5.62,45.10,0.00,51.11,42.45,2.36,-2.08
01011204,Leipziger Straße,"5,822",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",4.68,1.13,7.35,24.30,-1.34,-0.40,0.57,1.37,-0.91,-1.16,-0.58,-0.31,-2.96,-0.76,mittel,-0.63,-0.51,0.73,0.93,0.52,0.19,stabil,1.83,25.80,3.45,65.43,35.30,1.41,13.73,39.57,0.00,58.81,31.47,3.04,-1.87
01011301,Charitéviertel,"4,902",1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",2.98,0.71,3.79,7.68,-1.02,-0.14,0.61,0.07,-1.37,-1.46,-0.99,-1.10,-4.92,-1.27,hoch,-0.29,0.03,0.77,0.55,1.06,0.38,stabil,1.16,22.66,2.86,42.38,32.17,2.50,4.74,8.13,58.57,44.26,45.65,2.06,-2.04
01011302,Oranienburger Straße,"12,078",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.33,1.16,6.91,14.28,-0.87,-0.26,-0.08,-2.23,-0.74,-1.14,-0.63,-0.78,-3.30,-0.85,mittel,-0.14,-0.22,0.08,-0.12,-0.40,-0.14,stabil,2.40,31.53,5.31,40.65,31.39,2.46,7.23,23.06,32.09,53.92,33.22,0.58,-5.26
01011303,Alexanderplatzviertel,"8,141",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.00,2.01,9.36,24.50,-0.68,-0.11,-0.01,-4.57,-0.29,-0.53,-0.35,-0.30,-1.46,-0.38,mittel,0.07,0.09,0.15,-0.80,-0.49,-0.17,stabil,3.30,37.29,4.48,57.84,32.72,2.46,14.83,48.06,20.01,57.18,31.47,0.32,-9.73
01011304,Karl-Marx-Allee,"8,279",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.56,2.52,12.39,40.72,-1.75,-0.44,1.04,-6.13,-0.14,-0.16,0.00,0.46,0.18,0.05,mittel,-1.07,-0.60,1.20,-1.26,-1.73,-0.61,stabil,2.90,36.02,2.04,67.54,29.11,1.84,33.50,45.67,0.00,68.44,18.79,1.32,-0.61
01011305,Heine-Viertel West,"6,363",2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",6.29,1.83,7.94,32.73,-1.11,-0.53,-0.75,-9.87,-0.48,-0.65,-0.51,0.09,-1.56,-0.40,mittel,-0.39,-0.78,-0.58,-2.35,-4.11,-1.46,positiv,1.87,29.68,1.49,60.63,26.18,1.44,17.59,10.55,1.21,63.77,29.64,3.06,4.22
01011306,Heine-Viertel Ost,"7,857",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.14,2.36,8.34,25.67,-1.18,-0.09,0.84,-1.39,-0.25,-0.27,-0.47,-0.25,-1.23,-0.32,mittel,-0.47,0.13,1.00,0.12,0.78,0.28,stabil,3.56,27.05,2.09,61.21,30.93,1.51,17.13,13.76,22.34,58.40,32.59,2.83,-4.13
01011401,Invalidenstraße,"14,026",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",4.98,1.17,5.44,9.33,-0.51,-0.19,-0.11,-2.09,-0.83,-1.13,-0.80,-1.02,-3.78,-0.97,mittel,0.25,-0.08,0.06,-0.08,0.15,0.05,stabil,2.54,29.52,5.10,36.49,29.67,1.98,6.06,3.86,59.72,47.64,36.49,1.27,-6.28
01011402,Arkonaplatz,"12,025",1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",4.64,1.09,4.42,6.54,-0.50,-0.06,-0.83,-3.04,-0.92,-1.19,-0.92,-1.15,-4.19,-1.08,hoch,0.26,0.20,-0.66,-0.36,-0.56,-0.20,stabil,2.01,27.21,5.84,34.85,29.41,3.21,4.27,3.35,70.85,43.20,39.03,2.11,-4.22
01022101,Huttenkiez,"3,142",3,niedrig,-,negativ,3-,"Status niedrig, Dynamik negativ",12.63,3.94,23.11,74.01,-2.34,0.12,1.05,8.29,1.22,0.87,1.25,2.04,5.38,1.39,niedrig,-1.69,0.57,1.21,2.94,3.03,1.08,negativ,4.56,38.76,15.81,78.95,45.89,2.76,32.22,1.61,100.00,45.84,42.67,2.69,-1.21
01022102,Beusselkiez,"5,849",4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",13.56,4.56,26.31,63.11,-2.45,-0.26,0.32,0.62,1.48,1.32,1.62,1.52,5.93,1.53,sehr niedrig,-1.81,-0.23,0.48,0.71,-0.85,-0.30,stabil,7.13,32.98,18.00,78.87,54.56,0.21,37.49,2.00,100.00,46.80,44.56,2.22,-6.61
01022103,Westhafen,220,0,,0,,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00, ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01022104,Emdener Straße,"17,089",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",10.09,3.54,19.71,50.28,-2.69,-0.32,0.27,-2.59,0.54,0.58,0.85,0.92,2.89,0.75,mittel,-2.07,-0.34,0.43,-0.23,-2.21,-0.79,stabil,4.24,30.80,14.59,69.16,44.87,0.11,31.53,2.74,100.00,53.13,32.73,0.72,-4.23
01022105,Zwinglistraße,"4,887",3,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv",11.48,3.49,25.58,67.79,-2.71,-1.03,-2.37,-4.48,0.92,0.55,1.54,1.74,4.74,1.22,niedrig,-2.09,-1.80,-2.19,-0.78,-6.85,-2.44,positiv,5.40,30.86,16.74,81.76,54.21,0.82,40.20,0.00,100.00,51.13,37.04,2.01,-6.83
01022106,Elberfelder Straße,"10,959",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.13,2.23,11.84,24.60,-1.01,0.07,-0.11,-2.65,-0.25,-0.36,-0.06,-0.30,-0.97,-0.25,mittel,-0.29,0.45,0.05,-0.24,-0.03,-0.01,stabil,3.64,28.22,5.76,47.60,31.07,1.03,23.07,0.29,4.27,59.25,26.41,1.03,-2.07
01022201,Stephankiez,"10,000",2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",10.29,3.09,19.76,54.25,-2.45,-0.53,-0.82,-2.67,0.60,0.26,0.86,1.10,2.82,0.73,mittel,-1.82,-0.77,-0.64,-0.25,-3.48,-1.24,positiv,4.63,29.50,14.06,72.42,45.24,0.04,33.70,0.26,99.97,50.57,35.56,1.41,-5.64
01022202,Heidestraße,"1,492",4,sehr niedrig,-,negativ,4-,"Status sehr niedrig, Dynamik negativ",12.76,4.51,34.65,69.80,-1.67,0.17,2.51,6.22,1.26,1.28,2.59,1.84,6.97,1.80,sehr niedrig,-0.98,0.67,2.65,2.34,4.68,1.67,negativ,8.66,31.03,16.45,85.15,62.27,-0.32,55.34,14.03,100.00,61.42,24.43,2.05,6.19
01022203,Lübecker Straße,"6,751",3,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv",12.61,4.45,26.17,56.63,-2.90,0.01,-1.18,-11.08,1.22,1.24,1.60,1.22,5.28,1.36,niedrig,-2.29,0.33,-1.01,-2.70,-5.67,-2.02,positiv,5.34,31.20,16.98,84.11,57.03,1.72,39.72,13.11,41.48,55.44,30.90,3.39,3.74
01022204,Thomasiusstraße,"5,677",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.95,2.68,11.87,25.57,-1.50,-0.04,-0.21,-2.70,-0.03,-0.04,-0.06,-0.25,-0.38,-0.10,mittel,-0.80,0.24,-0.04,-0.26,-0.86,-0.31,stabil,4.04,29.82,7.68,52.70,34.91,2.28,20.88,0.11,6.80,59.19,31.38,1.31,-4.48
01022205,Zillesiedlung,"3,063",3,niedrig,-,negativ,3-,"Status niedrig, Dynamik negativ",10.70,3.60,27.82,56.10,-1.19,0.17,1.55,1.44,0.71,0.63,1.80,1.19,4.32,1.11,niedrig,-0.47,0.66,1.70,0.95,2.83,1.01,negativ,5.45,27.42,20.44,83.07,55.93,0.01,38.71,18.09,100.00,58.70,30.76,-0.44,-1.66
01022206,Lüneburger Straße,"3,016",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",8.34,2.66,12.50,30.83,0.20,0.53,-0.75,-0.96,0.07,-0.06,0.02,0.00,0.03,0.01,mittel,1.00,1.41,-0.58,0.25,2.08,0.74,stabil,3.83,30.18,8.76,62.70,37.27,0.44,22.18,0.00,0.00,58.48,26.73,1.43,3.51
01022207,Hansaviertel,"5,366",2,mittel,-,negativ,2-,"Status mittel, Dynamik negativ",6.52,1.91,9.63,27.35,-0.02,0.13,0.70,2.09,-0.42,-0.60,-0.32,-0.17,-1.50,-0.39,mittel,0.77,0.57,0.86,1.14,3.34,1.19,negativ,1.82,24.86,8.70,57.92,39.56,-2.31,13.10,1.23,0.00,59.57,34.16,-1.94,-3.57
01033101,Soldiner Straße,"24,632",4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",15.44,5.36,31.33,71.52,-2.80,0.07,1.17,-0.55,1.98,1.90,2.20,1.92,8.00,2.06,sehr niedrig,-2.18,0.46,1.33,0.37,-0.03,-0.01,stabil,7.86,34.55,14.91,81.40,57.06,1.58,46.52,14.50,100.00,48.60,37.98,2.96,-1.43
01033102,Gesundbrunnen,"11,030",4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",13.30,4.36,28.24,69.26,-2.33,-0.09,-0.57,-0.66,1.41,1.18,1.84,1.81,6.24,1.61,sehr niedrig,-1.68,0.12,-0.40,0.34,-1.63,-0.58,stabil,7.60,26.32,11.72,82.19,57.10,0.48,46.46,7.96,100.00,52.77,33.92,0.66,-4.74
01033201,Brunnenstraße,"12,778",4,sehr niedrig,+,positiv,4+,"Status sehr niedrig, Dynamik positiv",13.69,4.42,33.24,68.94,-2.24,-0.35,-1.07,-2.42,1.51,1.22,2.43,1.80,6.95,1.79,sehr niedrig,-1.59,-0.41,-0.90,-0.18,-3.07,-1.09,positiv,8.70,21.59,16.48,89.91,65.40,-0.24,56.08,56.78,100.00,61.00,23.54,-0.20,-0.86
01033202,Humboldthain Süd,"9,611",3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",12.15,4.01,24.31,60.00,-2.31,0.07,-0.75,-5.31,1.10,0.92,1.39,1.37,4.78,1.23,niedrig,-1.66,0.47,-0.57,-1.02,-2.79,-0.99,stabil,6.34,27.06,8.92,83.32,53.71,0.00,42.93,31.04,100.00,60.08,24.15,1.50,0.24
01033203,Humboldthain Nordwest,"13,179",4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",14.88,4.95,32.42,73.21,-3.91,-0.65,0.88,1.02,1.83,1.60,2.33,2.00,7.76,2.00,sehr niedrig,-3.36,-1.03,1.04,0.83,-2.53,-0.90,stabil,7.64,30.34,14.96,85.35,60.44,0.76,47.21,6.66,100.00,52.77,34.63,1.16,-3.52
01044101,Rehberge,"19,210",3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",11.90,3.88,21.24,56.99,-1.99,-0.23,0.96,1.55,1.03,0.83,1.03,1.23,4.12,1.06,niedrig,-1.32,-0.16,1.12,0.98,0.61,0.22,stabil,6.38,36.62,7.86,69.21,42.83,1.57,38.09,3.07,99.55,54.47,31.28,1.61,-4.51
01044102,Schillerpark,"15,069",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",12.20,4.07,17.45,53.79,-1.58,-0.35,1.04,0.79,1.11,0.96,0.59,1.08,3.75,0.97,mittel,-0.89,-0.40,1.20,0.76,0.66,0.23,stabil,6.04,38.56,4.94,58.18,33.23,1.48,33.89,45.43,68.02,58.10,28.65,1.46,-0.46
01044103,Westliche Müllerstraße,"7,738",3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",11.92,3.83,20.21,56.12,-2.49,0.00,-0.32,-1.42,1.04,0.79,0.91,1.19,3.93,1.01,niedrig,-1.86,0.32,-0.15,0.11,-1.58,-0.56,stabil,5.21,32.91,14.25,74.88,46.39,1.30,32.40,4.12,99.84,50.55,35.81,2.53,-3.80
01044201,Reinickendorfer Straße,"22,224",4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",15.08,5.04,32.11,75.35,-2.28,-0.17,-0.22,1.43,1.88,1.66,2.29,2.10,7.94,2.05,sehr niedrig,-1.63,-0.04,-0.05,0.94,-0.77,-0.27,stabil,7.77,29.19,14.91,89.49,66.20,0.18,47.71,10.16,100.00,49.43,38.19,2.38,-1.61
01044202,Sparrplatz,"15,894",3,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv",10.95,3.51,22.26,62.80,-2.63,-0.56,-0.33,-1.92,0.78,0.56,1.15,1.51,3.99,1.03,niedrig,-2.00,-0.84,-0.17,-0.03,-3.04,-1.08,positiv,4.66,27.81,15.17,79.46,55.10,0.60,32.04,2.87,99.82,43.39,48.32,2.42,-4.91
01044203,Leopoldplatz,"15,364",4,sehr niedrig,+,positiv,4+,"Status sehr niedrig, Dynamik positiv",13.89,4.78,27.26,69.34,-2.56,-0.31,-0.24,-3.80,1.56,1.48,1.73,1.82,6.59,1.70,sehr niedrig,-1.93,-0.32,-0.08,-0.58,-2.91,-1.03,positiv,5.99,30.76,15.54,81.06,55.44,0.76,39.50,8.25,100.00,47.91,40.73,2.91,-3.41
02010101,Askanischer Platz,"6,025",4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",12.81,4.84,29.26,65.14,-0.09,0.39,-2.31,-3.44,1.27,1.53,1.96,1.62,6.38,1.64,sehr niedrig,0.70,1.12,-2.13,-0.47,-0.78,-0.28,stabil,7.19,26.67,24.46,90.60,68.25,0.21,38.43,11.40,72.83,51.78,42.55,0.27,-2.36
02010102,Mehringplatz,"12,831",4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",14.56,5.54,34.99,70.57,-1.02,-0.04,-1.81,-3.97,1.75,2.03,2.63,1.87,8.28,2.13,sehr niedrig,-0.29,0.23,-1.63,-0.63,-2.32,-0.83,stabil,9.01,24.91,21.35,91.09,66.88,-0.30,51.24,19.83,38.67,55.86,28.12,0.24,-2.76
02010103,Moritzplatz,"15,351",4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",17.85,6.78,37.57,76.30,0.41,0.81,-0.62,-3.83,2.63,2.92,2.93,2.14,10.62,2.74,sehr niedrig,1.23,1.98,-0.45,-0.59,2.16,0.77,stabil,11.83,28.44,15.00,88.15,67.27,1.23,58.93,41.01,98.42,61.85,21.92,1.73,0.41
02010104,Wassertorplatz,"5,031",4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",15.58,5.83,37.31,72.07,0.23,0.48,-2.51,-7.71,2.02,2.24,2.90,1.94,9.10,2.34,sehr niedrig,1.03,1.31,-2.33,-1.72,-1.70,-0.60,stabil,10.88,24.69,27.83,85.71,65.06,-0.92,60.72,0.00,89.31,60.57,25.81,0.39,1.20
02020201,Gleisdreieck/Entwicklungsgebiet,278,0,,0,,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00, ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02020202,Rathaus Yorckstraße,"5,650",2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",8.23,2.77,13.35,29.45,-0.75,0.04,-2.88,-10.30,0.04,0.03,0.12,-0.07,0.12,0.03,mittel,0.00,0.39,-2.69,-2.47,-4.78,-1.70,positiv,3.99,29.04,11.00,49.00,38.19,1.27,23.63,2.74,75.95,55.86,34.10,1.34,-3.05
02020203,Viktoriapark,"10,169",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.77,2.42,12.00,26.66,-0.69,-0.11,-1.22,-5.56,-0.08,-0.23,-0.04,-0.20,-0.55,-0.14,mittel,0.06,0.09,-1.04,-1.09,-1.98,-0.71,stabil,4.33,25.84,8.68,52.48,36.55,0.84,20.96,0.10,95.54,55.09,32.33,1.37,-3.12
02020204,Urbanstraße,"11,894",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",8.04,2.84,12.80,27.33,-0.90,0.34,-0.71,-3.22,-0.01,0.08,0.05,-0.17,-0.04,-0.01,mittel,-0.17,1.02,-0.54,-0.41,-0.10,-0.04,stabil,4.36,32.34,13.12,51.04,37.80,1.20,22.15,0.00,87.53,55.60,33.83,0.67,-4.49
02020205,Chamissokiez,"14,827",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.74,2.41,12.66,26.26,-0.77,-0.06,-1.53,-5.18,-0.09,-0.23,0.04,-0.22,-0.50,-0.13,mittel,-0.02,0.19,-1.35,-0.98,-2.17,-0.77,stabil,5.36,30.88,13.28,50.77,37.76,1.34,20.37,17.59,32.02,58.50,29.89,0.93,-4.52
02020206,Graefekiez,"18,748",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",9.43,3.13,17.84,41.14,-0.67,0.15,-1.95,-6.67,0.37,0.29,0.64,0.48,1.78,0.46,mittel,0.08,0.62,-1.77,-1.41,-2.48,-0.88,stabil,6.98,26.81,14.99,63.92,42.87,0.01,33.55,0.54,65.15,54.58,32.02,1.28,-2.27
02030301,Oranienplatz,"9,295",4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",13.23,4.53,29.30,61.16,-1.16,0.02,-0.62,-4.86,1.39,1.30,1.97,1.43,6.08,1.57,sehr niedrig,-0.44,0.35,-0.45,-0.89,-1.42,-0.51,stabil,9.65,24.84,24.94,80.13,63.23,-0.67,41.93,12.94,96.06,60.04,28.39,0.61,-1.83
02030302,Lausitzer Platz,"13,222",3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",11.84,3.91,23.97,51.66,-0.23,0.27,-1.95,-5.46,1.01,0.85,1.35,0.98,4.19,1.08,niedrig,0.54,0.88,-1.77,-1.06,-1.41,-0.50,stabil,8.28,31.15,22.67,71.94,53.37,-0.12,35.63,14.86,100.00,59.92,30.57,0.55,-1.55
02030401,Reichenberger Straße,"14,933",2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",9.80,3.11,18.70,44.10,-0.89,-0.20,-1.97,-6.28,0.47,0.27,0.74,0.62,2.10,0.54,mittel,-0.15,-0.10,-1.79,-1.30,-3.34,-1.19,positiv,8.21,29.07,15.96,64.89,45.30,0.77,28.58,0.82,98.40,55.12,33.71,0.52,-6.18
02030402,Wrangelkiez,"11,312",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",9.63,3.16,18.13,41.78,-1.24,-0.02,-0.68,-4.36,0.42,0.31,0.67,0.51,1.91,0.49,mittel,-0.53,0.27,-0.51,-0.74,-1.51,-0.54,stabil,6.20,28.80,17.24,62.38,48.28,1.38,26.38,1.71,100.00,56.91,33.16,0.58,-3.62
02040501,Barnimkiez,"5,324",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",9.41,3.38,13.73,47.76,-1.65,0.00,0.35,-4.82,0.36,0.47,0.16,0.80,1.79,0.46,mittel,-0.96,0.31,0.51,-0.88,-1.02,-0.36,stabil,5.58,48.06,1.53,49.28,20.21,1.00,38.43,73.20,0.00,70.13,18.11,1.20,0.84
02040502,Friedenstraße,"6,834",2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",7.64,2.27,10.35,29.96,-2.33,-0.40,-0.51,-5.37,-0.11,-0.34,-0.23,-0.04,-0.73,-0.19,mittel,-1.69,-0.50,-0.34,-1.04,-3.56,-1.27,positiv,4.25,37.06,3.22,45.48,20.44,2.20,24.91,38.21,0.00,56.89,27.67,0.79,-4.79
02040503,Richard-Sorge-Viertel,"10,271",2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",6.10,1.72,7.14,15.33,-1.16,-0.45,-1.31,-6.94,-0.53,-0.73,-0.61,-0.74,-2.60,-0.67,mittel,-0.45,-0.62,-1.14,-1.49,-3.69,-1.31,positiv,3.78,27.96,2.09,29.61,18.09,1.70,15.62,22.42,77.35,46.68,34.81,1.78,-9.40
02040701,Andreasviertel,"12,236",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.82,2.49,12.92,45.22,-0.95,-0.12,-0.49,-5.32,-0.07,-0.17,0.07,0.68,0.50,0.13,mittel,-0.22,0.06,-0.32,-1.02,-1.50,-0.53,stabil,3.87,35.72,3.43,55.85,29.15,1.29,25.85,51.04,0.00,56.16,28.80,2.34,-3.59
