Nummer,Name,EW 31.12.2012,Statusindex                    (Gruppe),,Dynamikindex             (Gruppe),,Status/Dynamik-Index                                                    (Gruppe),,S1,S2,S3,S4,D1,D2,D3,D4,zS1,zS2,zS3,zS4,Status-summe,Statusindex (standardisierte Statussumme),Zuordnung Gruppe Statusindex ,zD1,zD2,zD3,zD4,Dynamik-summe,Dynamikindex (standardisierte Dynamik-summe),Zuordnung Gruppe Dynamik-index ,K 01,K 02,K 03,K04,K 05,K 06,K 07,K 08,K 09,K 10,K 11,K 12,K 13
11041023,Gensinger Straße,"5,781",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",11.81,4.28,18.56,50.71,-2.03,-0.47,1.21,1.95,1.01,1.11,0.72,0.94,3.78,0.97,mittel,-1.37,-0.66,1.36,1.10,0.44,0.16,stabil,7.15,35.79,3.59,44.14,23.27,1.35,45.71,24.35,77.94,60.87,23.05,0.99,-4.53
11041027,Tierpark,"2,713",3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",13.56,5.36,16.62,45.83,-0.59,0.48,-0.06,-5.35,1.48,1.90,0.50,0.71,4.57,1.18,niedrig,0.16,1.31,0.10,-1.03,0.55,0.19,stabil,7.61,32.16,3.74,38.40,17.58,3.61,39.13,36.02,43.16,59.59,27.01,3.55,13.71
11041128,Sewanstraße,"24,411",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",9.20,3.14,11.09,41.25,-1.37,-0.55,-0.14,-1.53,0.30,0.29,-0.15,0.49,0.94,0.24,mittel,-0.66,-0.81,0.03,0.08,-1.36,-0.48,stabil,4.62,37.20,1.79,40.78,17.16,1.56,27.51,42.27,28.61,66.07,21.84,1.79,1.26
11051229,Rummelsburg,"3,305",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.45,1.77,3.84,4.29,-0.22,-0.38,-0.02,-0.77,-0.70,-0.70,-0.99,-1.26,-3.65,-0.94,mittel,0.56,-0.47,0.14,0.30,0.53,0.19,stabil,2.45,11.57,0.76,18.52,12.13,0.51,11.86,6.75,14.16,46.24,26.56,1.29,-2.43
11051330,Karlshorst West,"7,967",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",4.93,1.53,5.28,10.83,-1.04,-0.41,-0.43,-2.83,-0.84,-0.87,-0.82,-0.95,-3.48,-0.90,mittel,-0.31,-0.53,-0.26,-0.30,-1.41,-0.50,stabil,1.75,32.89,2.52,11.02,14.12,1.88,4.53,30.50,8.07,51.66,33.81,2.11,-2.17
11051331,Karlshorst Nord,"9,266",1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",4.91,1.44,3.78,6.31,-0.81,-0.39,-0.21,-0.46,-0.85,-0.94,-1.00,-1.16,-3.94,-1.02,hoch,-0.07,-0.49,-0.05,0.39,-0.21,-0.07,stabil,3.12,23.95,0.58,15.24,7.73,0.86,19.20,18.06,0.00,65.93,21.83,2.26,2.68
11051332,Karlshorst Süd,"5,750",1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",3.82,1.12,3.76,5.81,-1.00,-0.75,-0.33,-0.47,-1.14,-1.17,-1.00,-1.18,-4.49,-1.16,hoch,-0.27,-1.24,-0.16,0.39,-1.27,-0.45,stabil,2.64,22.15,0.94,15.22,8.97,0.52,9.38,9.39,0.00,55.69,24.07,3.78,13.97
12103115,Breitkopfbecken,"7,374",3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",12.93,3.76,23.00,57.36,-1.53,-0.42,1.64,2.68,1.31,0.74,1.24,1.25,4.53,1.17,niedrig,-0.83,-0.56,1.79,1.31,1.71,0.61,stabil,9.74,43.81,7.58,59.76,35.58,2.89,38.32,3.43,100.00,55.38,30.22,1.46,-0.01
12103116,Hausotterplatz,"9,012",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",11.52,3.69,21.78,52.94,-1.55,-0.53,0.22,-2.48,0.93,0.69,1.09,1.04,3.75,0.97,mittel,-0.85,-0.78,0.39,-0.19,-1.44,-0.51,stabil,6.36,35.91,5.36,62.48,38.42,3.09,39.06,0.27,99.97,55.59,30.83,1.97,0.90
12103117,Letteplatz,"9,629",3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",13.19,4.18,24.18,59.18,-0.10,-0.07,0.44,1.01,1.38,1.05,1.37,1.34,5.13,1.32,niedrig,0.68,0.17,0.60,0.82,2.27,0.81,stabil,9.29,38.54,6.70,69.71,43.14,3.72,38.14,8.64,100.00,56.33,30.14,2.46,1.46
