Eigentumswohnungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,
Block, Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² ,
002040, 1 , 687 , 12 ," 1,108 ", 1 , 878 , 3 , 563 , 3 , 510 , 3 , 438 ,,, 2 , 532 , 2 , 892 , 4 ," 1,025 ", 4 ," 1,119 ", 3 ," 1,263 ", 3 ," 1,574 ", 4 ," 2,116 ", 2 ," 1,819 ", 2 ," 2,921 ", 3 ," 1,223 ", 3 ," 2,794 ", 2 ," 2,591 ", 3 ," 3,834 ", 1 ," 4,404 ",,,
002041,,,,,,,,, 1 , 744 ,,, 1 ," 1,276 ",,,,,,, 3 , 951 ,,,,,,,,,,,,, 1 ," 2,382 ", 1 ," 3,326 ",,,,,,,
002042,,,,, 1 ," 1,592 ", 1 , 417 ,,,,, 1 ," 2,034 ",,, 6 , 852 , 2 , 903 , 2 , 954 , 1 ," 1,395 ", 6 ," 1,554 ", 3 ," 1,192 ",,, 1 ," 2,393 ", 1 ," 3,633 ", 1 ," 3,953 ", 3 ," 1,117 ", 1 ," 3,558 ",,, 1 ," 4,411 ",
002046, 6 , 609 , 9 , 942 , 6 ," 1,858 ", 4 ," 1,116 ", 8 , 768 , 6 , 778 , 4 , 798 , 7 , 771 , 5 , 904 , 8 , 792 , 12 , 808 , 20 ," 1,102 ", 5 ," 1,514 ", 4 ," 1,612 ", 5 ," 1,892 ", 4 ," 2,040 ", 7 ," 2,347 ", 5 ," 2,157 ", 13 ," 3,329 ", 11 ," 2,598 ", 12 ," 3,108 ", 1 ,,
002047,,, 3 , 914 , 1 ," 1,128 ", 1 ," 1,014 ",,,,, 3 , 848 , 1 , 351 , 1 ," 1,362 ", 2 ," 2,079 ", 5 ," 1,146 ", 3 ," 1,786 ", 3 ," 1,231 ", 2 ," 1,140 ", 1 ," 1,104 ", 7 ," 2,616 ", 13 ," 2,931 ", 7 ," 3,468 ", 4 ," 3,364 ", 3 ," 4,058 ", 2 ," 3,063 ",,,
002048,,, 3 , 227 , 3 , 792 , 3 , 788 , 2 , 883 , 2 ," 1,062 ", 4 , 773 , 12 ," 1,611 ", 16 ," 2,044 ", 6 ," 1,341 ", 12 , 935 , 7 ," 1,034 ", 3 ," 1,128 ", 4 ," 1,162 ", 10 ," 1,687 ", 1 ," 1,868 ", 5 ," 2,589 ", 1 ," 2,820 ", 3 ," 3,113 ", 1 ," 3,129 ", 3 ," 2,957 ", 1 ," 3,955 ",
002049, 3 , 788 , 31 ," 1,568 ", 9 ," 1,466 ", 4 , 542 , 3 , 851 , 26 , 831 , 18 , 923 , 28 , 929 , 12 , 992 , 11 ," 11,777 ", 9 ," 12,474 ", 11 ," 17,768 ", 23 ," 1,269 ", 24 ," 1,547 ", 13 ," 18,362 ", 9 ," 2,198 ", 7 ," 2,048 ", 13 ," 2,580 ", 10 ," 2,373 ", 6 ," 4,382 ", 7 ," 3,206 ", 1 ," 4,056 ",
002050, 1 ," 1,264 ", 3 ," 1,172 ", 1 ," 1,224 ", 1 , 262 , 5 ," 1,169 ",,, 4 , 826 , 7 , 845 , 5 ," 1,375 ", 2 ," 1,037 ", 1 , 574 , 1 ," 1,310 ", 3 ," 1,502 ", 2 ," 1,887 ", 19 ," 2,563 ", 20 ," 2,516 ", 7 ," 2,636 ", 1 ," 3,204 ", 1 ," 3,632 ", 2 ," 3,189 ", 2 ," 4,211 ",,,
002051, 8 ," 1,741 ", 9 ," 1,609 ", 6 ," 1,643 ", 12 , 585 , 10 , 737 , 9 , 465 , 8 , 671 , 5 , 898 , 3 ," 1,156 ", 6 , 742 , 4 ," 1,221 ", 4 ," 1,002 ",,, 2 ," 2,097 ", 10 ," 2,560 ", 12 ," 2,735 ", 11 ," 2,814 ",,, 3 ," 3,029 ", 1 ," 5,340 ", 7 ," 4,605 ",,,
002052,,, 24 ," 1,780 ", 4 ," 1,815 ", 5 ," 1,594 ", 1 ," 1,110 ", 1 , 451 ,,,,, 2 , 760 ,,, 1 , 914 , 14 ," 1,206 ", 10 ," 1,483 ", 12 ," 1,688 ", 4 ," 1,859 ", 5 ," 1,934 ", 3 ," 2,241 ", 2 ," 2,358 ", 2 ," 2,000 ", 3 ," 2,699 ", 2 ," 5,041 ", 2 ," 5,596 ",
