Eigentumswohnungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,
Block, Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² ,
074132, 2 ," 1,097 ", 6 ," 1,114 ", 2 , 783 , 3 , 969 , 1 , 679 , 3 , 835 , 8 ," 1,196 ", 2 ," 1,047 ", 3 ," 1,148 ", 5 , 917 , 9 , 997 , 4 , 840 , 8 , 899 , 4 ," 1,049 ", 7 ," 1,022 ", 6 ," 1,063 ", 5 ," 1,660 ", 5 ," 1,702 ", 4 ," 2,053 ", 6 ," 2,486 ", 5 ," 2,513 ", 1 ," 2,273 ",
074134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 1,931 ",,,
074135, 1 ," 1,886 ", 3 ," 2,097 ", 2 ," 2,105 ",,, 1 , 627 , 1 ," 1,067 ", 4 ," 1,028 ",,,,, 2 , 764 , 1 ," 1,588 ", 1 ," 1,442 ",,, 2 ," 1,887 ", 1 , 992 ,,,,, 1 ," 2,162 ",,,,, 2 ," 3,571 ",,,
074138, 1 , 171 ,,,,,,,,,,, 1 ," 1,550 ", 1 , 832 ,,,,,,,,, 2 ," 1,308 ", 1 , 509 ,,, 2 ," 1,128 ",,,,,,,,,,,,,
074139,,,,, 1 ," 2,260 ",,,,,,,,, 1 ," 1,925 ",,,,,,,,,,, 1 ," 1,502 ",,,,,,, 1 ," 2,546 ",,, 1 ," 1,692 ",,,,,
074140,,,,,,,,, 1 ," 1,880 ", 1 ," 2,000 ", 1 ," 2,150 ",,,,,,, 1 ," 1,271 ",,,,,,,,,,,,,,,,,,,,,,,
074143,,,,,,, 1 ,,,,,, 1 ," 2,574 ",,,,,,, 1 ," 1,681 ", 1 ," 2,458 ", 1 ," 2,112 ", 2 ," 1,497 ",,,,,,, 1 ," 3,992 ",,,,,,,,,
074144,,, 2 ," 1,035 ", 1 ," 1,623 ", 3 ," 1,953 ", 4 ," 1,940 ", 7 ," 1,689 ", 1 , 201 , 1 , 791 ,,, 2 ," 1,439 ", 4 ," 1,190 ", 3 ," 1,330 ", 2 ," 1,245 ", 5 ," 1,353 ", 6 ," 1,843 ", 2 ," 2,058 ",,, 3 ," 2,794 ",,, 1 ," 3,216 ", 1 ," 3,836 ",,,
074145, 1 ," 1,904 ",,,,,,, 3 ," 1,403 ", 1 ," 1,814 ", 1 ," 1,290 ",,,,, 1 , 863 ,,,,,,, 1 ," 1,124 ", 9 ," 1,672 ", 2 ," 1,930 ", 5 ," 1,276 ", 2 ," 1,422 ", 3 ," 2,538 ", 3 ," 2,902 ", 2 ," 3,573 ",,,
074146,,,,,,,,,,,,, 1 ," 1,929 ",,, 1 ," 1,901 ",,,,,,,,, 1 ," 2,386 ",,,,, 1 ," 2,179 ",,,,,,,,,,,
074148,,,,,,, 1 ," 2,413 ",,,,, 2 ," 2,024 ",,,,, 2 ," 1,525 ", 1 ," 2,046 ",,,,,,, 1 ," 2,656 ",,,,, 1 ," 2,768 ",,,,, 3 ," 3,180 ", 1 ," 3,000 ",
074149,,,,,,,,,,, 1 ," 1,389 ",,,,,,,,,,,,,,, 1 ," 2,222 ",,, 1 ," 2,138 ", 1 ," 1,686 ", 1 ," 2,518 ",,,,, 2 ," 2,930 ",,,
074150,,,,,,,,,,,,, 2 ," 1,128 ",,,,,,,,, 1 ," 1,417 ",,,,,,,,,,,,, 2 ," 2,367 ", 1 ," 3,156 ",,, 1 ," 2,556 ",
074153, 1 ," 2,568 ", 1 ," 2,069 ", 1 ,,,,,, 2 ," 1,356 ",,,,, 1 ," 1,371 ",,,,,,,,, 2 ," 1,799 ",,,,,,, 1 ," 3,314 ", 1 ," 3,479 ",,, 1 ," 4,049 ",,,
074154,,,,, 1 ," 3,293 ",,,,, 1 ," 2,065 ", 1 ," 2,268 ",,,,,,,,, 1 ," 2,165 ",,,,, 2 ," 2,398 ",,,,, 1 ," 2,924 ",,,,, 1 ," 3,661 ",,,
074155,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 2,365 ",,, 1 ," 2,313 ",,,,,,,,,,,,,
074156,,,,,,,,,,,,, 2 ,, 2 ," 1,670 ", 1 ," 2,188 ",,, 1 ," 2,386 ",,,,,,,,,,,,,,,,,,,,,,,
074157,,, 1 ," 2,055 ",,,,, 1 ," 1,324 ",,, 1 ," 1,961 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 2,778 ",,,
074159,,,,, 1 , 863 , 1 ," 1,134 ",,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 2,589 ", 1 ," 2,737 ", 2 ," 2,624 ",,,,,,,
074160,,,,,,,,,,,,,,, 6 ," 1,842 ", 4 ," 1,853 ",,,,,,, 2 ," 1,484 ",,,,, 1 ," 1,178 ", 1 ," 2,137 ", 1 ," 1,702 ", 3 ," 2,038 ", 1 ," 2,148 ",,,,,
074161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 10 ," 3,039 ", 37 ," 3,175 ", 71 ," 3,102 ", 43 ," 3,671 ", 11 ," 3,903 ",,,
074162, 2 ," 1,479 ", 4 ," 1,028 ", 5 , 810 , 4 ," 1,249 ", 1 ," 1,060 ", 4 , 940 , 5 , 653 , 2 , 784 , 6 ," 1,038 ", 9 ," 1,116 ", 9 , 931 , 7 ," 1,096 ", 9 ," 1,062 ", 8 ," 1,029 ", 4 ," 1,146 ", 9 ," 1,504 ", 9 ," 1,561 ", 3 ," 1,663 ", 2 ," 2,026 ", 11 ," 2,529 ", 2 ," 3,030 ", 2 ," 3,457 ",
074169,,,,,,,,, 1 , 851 ,,, 1 ," 1,006 ", 2 ," 1,074 ", 1 , 954 ,,, 1 , 826 , 1 ," 1,284 ",,, 1 ," 1,276 ", 1 ," 1,520 ",,, 5 ," 2,263 ", 2 ," 1,380 ",,, 2 ," 2,963 ",,, 1 ," 2,952 ",
074171,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 1,973 ",,,,,,,,,,,,,,,,,
074174,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 1,571 ", 1 ," 2,333 ",,,,,,,,,,, 2 ," 3,402 ", 1 ," 4,262 ",
074175,,, 1 ," 1,743 ",,,,,,,,,,,,,,,,,,, 1 ," 1,302 ",,,,,,,,,,,,,,, 1 ," 3,211 ",,,,,
074176, 1 ," 1,927 ",,,,, 1 ," 1,552 ",,,,,,,,,,,,,,,,,,,,, 1 ," 1,863 ",,,,,,,,,,,,,,,
074177, 1 ," 2,678 ",,,,,,,,,,,,,,,,,,, 1 ," 2,286 ",,,,, 2 ," 2,378 ",,,,,,,,,,,,,,,,,
074178,,,,,,,,,,,,,,,,, 1 ," 2,054 ",,,,, 1 ," 2,085 ",,, 1 ," 2,740 ",,,,,,,,, 1 ," 2,754 ",,,,,,,
074179,,,,,,, 1 ," 1,750 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074185,,,,, 1 ," 1,359 ", 4 ," 1,534 ", 1 ," 1,232 ", 1 ," 1,892 ", 1 ," 1,226 ", 1 ," 1,478 ",,,,, 1 ," 2,253 ",,,,,,,,,,,,, 2 ," 1,957 ",,,,,,,,,
074188, 1 ," 1,110 ",,, 2 , 841 , 1 , 831 , 1 ," 1,280 ", 2 , 884 ,,,,, 1 , 666 ,,, 2 ," 1,156 ", 1 , 988 , 3 , 783 , 1 ," 1,154 ", 1 ," 1,588 ", 1 ," 1,086 ", 5 ," 1,429 ", 8 ," 1,529 ", 3 ," 2,097 ", 2 ," 1,585 ", 4 ," 2,965 ", 1 ," 3,825 ",
074189,,, 2 ," 2,632 ", 1 ," 2,717 ",,,,,,,,,,,,, 1 ," 1,645 ",,,,,,,,,,,,,,,,, 1 ," 2,119 ",,,,,,,
074191,,,,,,,,,,,,, 1 , 523 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074199,,,,,,, 1 ," 1,566 ",,,,,,,,,,, 1 ," 2,457 ", 1 , 667 ,,,,,,,,,,, 1 ," 2,163 ",,,,,,,,,,,
074200,,, 1 ," 1,517 ",,,,,,, 1 , 493 ,,,,,,,,,,,,, 1 ," 1,989 ", 1 ," 2,088 ", 1 ," 1,230 ",,,,,,,,,,,,,,,
074201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 3,059 ", 1 ," 1,700 ",,,,, 1 ," 4,574 ",
074204,,, 1 ," 1,905 ",,,,,,, 2 ," 1,418 ", 1 ," 1,452 ",,,,,,, 1 , 701 , 1 , 806 ,,,,,,,,,,, 1 ," 3,171 ",,,,, 1 ," 4,976 ",,,
074206,,,,,,,,,,, 1 ," 1,558 ",,,,,,,,, 1 ," 1,615 ", 1 , 709 , 1 , 354 , 2 ," 2,418 ", 4 ," 2,380 ",,,,,,,,,,, 1 ," 3,924 ",,,
074207,,,,,,, 1 ," 2,540 ",,,,,,,,, 1 ,,,,,,,,,,,, 1 ," 2,182 ", 1 ," 2,904 ",,,,,,,,, 1 ," 4,027 ",,,
074208, 2 ," 2,232 ",,, 3 ," 1,716 ",,, 2 ," 1,627 ", 1 , 624 ,,,,,,, 2 ," 1,548 ", 2 , 953 , 2 ," 1,489 ",,,,,,, 2 , 890 ,,, 2 ," 2,597 ", 2 ," 2,308 ",,, 1 ," 4,495 ",,,
074211,,,,,,,,,,,,,,, 1 ," 1,264 ",,,,,,, 1 ," 2,204 ",,,,,,,,,,,,,,,,,,,,,
074212, 1 ," 2,104 ",,,,, 2 ," 1,731 ",,,,, 1 ," 1,566 ",,,,,,,,,,,,, 3 ," 2,194 ",,, 2 ," 1,944 ",,,,, 1 ," 1,623 ", 1 ," 3,982 ",,,,,
074213,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 1,864 ",,,,,,,,, 1 ," 2,451 ",,,,,
074214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 2,506 ",,,,,,,
074216,,,,,,,,,,,,,,,,, 1 ," 1,337 ", 1 , 654 ,,,,,,,,,,,,, 1 ," 2,700 ",,,,,,,,,,,
074218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 1,909 ",,,,,,,,,
074219,,,,, 2 ," 1,687 ",,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 3,261 ",,,,,,,,,,,,,
074220,,, 5 ," 1,764 ",,, 1 ," 1,489 ", 1 ,, 1 ," 1,672 ",,, 1 ," 1,710 ", 3 ," 1,362 ", 1 ," 1,081 ", 4 ," 1,286 ", 1 ," 1,268 ", 2 ," 1,022 ", 1 ," 1,326 ",,, 1 ," 1,520 ", 1 ," 3,575 ", 2 ," 1,282 ", 2 ," 3,276 ",,, 2 ,,,,
074223,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 1,090 ",,,,,,,,, 1 ," 2,042 ", 1 ," 2,280 ", 1 ," 3,512 ", 2 ," 3,400 ", 1 ," 3,551 ",
074224,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,
074225,,,,,,, 1 ," 1,913 ",,,,,,,,,,, 1 ," 1,144 ", 1 ," 1,746 ",,, 5 ," 2,343 ",,, 2 ," 1,783 ", 1 ," 2,459 ",,,,,,, 2 ," 3,426 ",,,,,
074226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 4,386 ",
074227,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 2,323 ",,,,,,,,,,,,,,,,,,,
074229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 2,712 ",,,,,,,
074230,,,,,,,,,,,,, 1 ," 1,667 ",,,,,,,,, 1 ," 1,908 ",,,,,,,,,,, 1 ," 1,884 ",,,,,,,,,
074233,,,,, 1 ,,,,,,,,,,,,,, 1 ," 1,977 ",,,,,,,,,,,,, 1 ," 2,254 ",,,,,,,,,,,
074235,,, 1 , 647 ,,, 2 , 859 ,,, 1 , 603 ,,,,, 1 , 507 , 2 ," 1,144 ",,, 2 , 934 , 2 ," 1,008 ", 2 ," 1,391 ",,, 2 ," 1,432 ", 2 ," 1,735 ",,,,,,,,,,,
074236,,,,,,,,,,,,,,,,, 1 ,,,,,,,, 2 , 949 ,,,,,,,,,,,,,,,,,,,
074237,,,,,,,,, 1 ," 1,589 ",,,,, 1 ," 2,075 ",,,,,,,,, 1 , 783 ,,,,,,,,,,,,,,,,,,,
074238,,,,, 1 ," 1,299 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 1,712 ",,,,,,,,,,,,,
074242, 1 ," 2,409 ", 2 ," 1,223 ", 1 ," 1,534 ",,, 1 ," 1,543 ",,,,, 1 ," 1,150 ",,, 1 ,,,,,, 1 ," 1,500 ", 1 ," 1,800 ",,,,,,,,,,, 1 ," 2,957 ",,,,,
074243,,,,, 1 ," 1,255 ", 1 ," 1,255 ", 1 ," 1,896 ", 1 ," 1,929 ",,,,,,,,,,,,,,,,,,,,, 1 ," 3,882 ",,,,,,,,,,,
074244,,,,, 1 ," 2,299 ",,,,, 1 ," 1,229 ",,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 3,033 ",,,,,,,
074246,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 2,279 ",,,,,,,,,,,,,,,,,,,
074249, 3 ," 2,792 ",,, 1 ," 1,729 ", 1 , 663 , 1 ," 2,418 ",,,,, 1 ," 1,401 ",,, 1 , 976 ,,, 1 , 455 , 1 ," 1,728 ",,, 1 ," 2,031 ",,, 3 ," 2,065 ", 1 ," 1,535 ", 3 ," 3,754 ",,,,,,,
074255,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 1,523 ",,, 1 ," 2,305 ",,,,, 1 ,,,,,,,,,,
074256, 1 ," 1,466 ",,, 2 ," 1,049 ",,, 1 ," 2,052 ", 1 , 714 ,,,,,,,,,,,,,,,,, 12 ," 2,082 ", 2 ," 2,266 ", 1 ," 1,004 ",,, 1 ," 3,968 ", 2 ," 2,889 ", 1 ," 3,155 ",,,
074257,,,,,,,,, 1 ," 1,566 ",,,,,,,,,,,,,,, 1 ," 1,530 ", 1 ," 1,831 ",,,,,,,,,,,,,,,,,
074258,,,,,,, 1 ," 1,181 ",,,,,,, 1 ," 1,208 ",,,,,,,,,,,,, 1 ," 1,328 ",,,,,,, 1 ," 2,387 ",,,,,,,
074260,,, 1 ," 1,529 ",,, 1 ," 1,250 ",,, 2 ," 1,090 ",,,,,,,,,,,,, 1 ," 1,912 ",,, 1 ," 1,196 ",,,,,,, 2 ," 2,257 ",,,,,,,
074261,,, 1 ," 1,957 ",,, 2 ," 2,263 ", 1 ," 2,227 ", 1 ,,,,,,,, 1 ," 1,893 ",,,,, 1 ," 2,193 ", 1 ," 2,159 ", 1 ," 2,033 ",,,,, 1 ," 2,324 ",,, 1 ," 3,048 ",,,,,
074265,,, 1 ,,,, 1 ," 2,143 ", 1 , 818 , 5 ," 1,401 ", 1 , 764 ,,, 1 ," 1,397 ", 1 ," 1,115 ", 1 ," 1,079 ",,, 1 ," 1,647 ", 2 ," 1,525 ", 2 ," 1,008 ",,, 2 ," 1,878 ", 2 ," 2,000 ", 3 ," 2,069 ", 1 ," 2,535 ", 1 ," 2,986 ",,,
074266,,,,,,,,, 1 ," 1,630 ",,,,,,,,,,, 1 ," 1,349 ",,,,,,,,,,, 1 ," 2,266 ",,,,,,,,,,,
074267,,, 1 , 895 ,,,,,,, 1 ," 2,090 ",,, 1 ," 1,252 ",,,,,,, 1 ," 2,503 ", 1 ," 1,020 ", 3 ," 1,808 ",,, 2 ," 1,872 ", 1 ," 3,110 ",,,,,,,,,,,
074269, 1 ," 1,420 ",,,,, 1 ," 1,592 ", 1 ," 1,339 ",,,,,,, 1 ," 1,783 ", 1 ," 2,046 ",,, 3 ," 1,720 ", 1 ," 1,789 ",,,,,,,,,,, 1 ," 2,245 ",,,,,,,
074271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 2,731 ",,, 1 ," 2,881 ",,,,,,,,,
074272,,,,,,,,,,, 1 ," 1,458 ",,,,,,,,,,,,,,, 1 ," 2,500 ",,,,,,,,,,,,,,,,,
074275,,,,, 1 ," 2,248 ",,,,,,,,,,, 1 ," 2,837 ", 4 ," 1,328 ", 1 ," 1,084 ", 1 ," 2,892 ", 3 ," 1,960 ",,,,,,,,, 1 ," 3,491 ",,, 1 ," 2,507 ", 1 ," 2,228 ",,,
074277,,,,,,,,,,,,,,,,,,,,, 1 ," 2,000 ",,,,,,,,,,,,,,,,,,,,,,,
074278, 1 ," 2,181 ", 1 ," 1,809 ",,,,, 1 ," 2,059 ",,,,,,,,,,, 1 ," 1,614 ",,,,,,,,, 1 ," 2,264 ",,, 1 ," 2,644 ",,,,,,,,,
074280,,,,, 1 ," 1,760 ",,, 1 ," 1,618 ", 1 ," 1,690 ",,,,, 1 ," 1,604 ", 1 ," 1,301 ",,, 1 ," 1,864 ", 1 ," 1,872 ",,,,, 1 ," 2,021 ",,, 1 ," 3,481 ",,, 1 ," 2,998 ", 1 ," 5,295 ",,,
074282,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 3,428 ",,,,,,,
074284, 1 ," 2,248 ",,,,,,, 1 ," 1,721 ",,,,, 1 ," 1,565 ", 1 ," 1,081 ", 1 ," 1,146 ",,,,,,,,,,,,, 1 ," 2,147 ",,,,,,,,,,,
074285,,,,,,,,,,,,,,,,,,,,,,, 1 ," 2,210 ",,,,,,,,,,,,,,,,,,,,,
074286,,,,,,,,,,,,,,,,,,,,,,, 1 ," 1,667 ",,,,, 1 ," 2,778 ",,,,,,,,,,,,,,,
074287,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 2,392 ",,,,,,,,,,,,,,,,,
074290,,,,,,,,,,, 5 ," 2,030 ",,,,, 1 ," 2,109 ",,,,,,,,,,,,,,, 3 ," 2,284 ", 1 ," 2,105 ",,, 1 ," 2,500 ",,,,,
074292,,,,,,,,,,,,,,, 6 ," 1,704 ",,,,,,,,,,,,,,,,,,,,, 1 ," 2,314 ", 1 ," 3,376 ",,, 1 ," 3,231 ",
074293,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2 ," 1,804 ",,,,,,, 2 ," 2,499 ",,,,,,,
074296,,, 1 , 428 , 1 ," 1,945 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074297,,,,,,,,, 1 ," 2,041 ",,, 1 ,,,,,,,,,, 1 ," 1,667 ",,,,,,,,,,, 2 ," 3,750 ",,,,,,,,,
074298,,, 2 ," 1,265 ",,,,,,, 2 ," 1,217 ",,,,,,, 1 ," 1,012 ", 1 ," 2,244 ",,,,,,,,, 1 , 120 ,,,,,,,,,,,,,
074299,,,,,,, 2 ," 2,242 ", 2 ," 1,880 ", 3 ," 1,604 ", 1 ," 1,679 ", 1 ," 1,227 ",,, 1 ,,,, 1 ," 2,256 ", 2 ," 1,637 ",,, 3 ," 2,088 ", 2 ," 2,104 ", 1 ," 2,452 ",,,,,,,,,,,
074601,,,,,,,,,,, 1 ," 1,345 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074602,,,,,,,,,,,,,,,,, 1 ," 1,449 ",,,,,,,,,,,,,,,,,,,,, 1 ," 3,512 ",,,,,
074603, 14 ," 1,372 ", 14 ," 1,260 ", 8 ," 1,140 ", 4 ," 1,218 ", 8 ," 1,287 ", 27 ," 1,458 ", 32 ," 1,439 ", 10 ," 1,486 ", 5 ," 1,228 ",,, 1 ," 1,256 ", 3 ," 1,213 ", 8 , 950 , 14 ," 1,529 ", 11 ," 1,764 ", 20 ," 2,061 ", 16 ," 1,895 ", 8 ," 1,931 ", 8 ," 1,789 ", 6 ," 1,867 ", 3 ," 3,055 ", 1 ," 4,013 ",
074604, 6 ," 1,355 ", 5 ," 1,233 ", 3 ," 1,226 ", 1 ," 1,463 ", 6 ," 1,217 ", 1 ," 1,028 ", 18 ," 1,442 ", 22 ," 1,457 ", 2 ," 1,524 ", 4 ," 1,209 ", 1 , 960 , 3 ," 1,114 ", 14 ," 1,867 ", 5 ," 1,199 ", 4 ," 1,115 ", 12 ," 1,613 ", 2 ," 1,486 ", 2 ," 1,326 ", 7 ," 1,887 ", 1 ," 2,216 ", 4 ," 2,190 ",,,
074605, 21 ," 1,366 ", 16 ," 1,181 ", 6 ," 1,195 ", 14 ," 1,151 ", 2 ," 1,278 ", 20 ," 1,490 ", 59 ," 1,494 ", 31 ," 1,465 ", 5 ," 1,190 ", 4 , 891 , 7 ," 1,074 ",,, 10 , 964 , 22 ," 1,087 ", 7 ," 1,242 ", 9 ," 1,334 ", 24 ," 1,729 ", 32 ," 2,047 ", 13 ," 2,088 ", 17 ," 2,191 ", 10 ," 2,365 ", 3 ," 2,358 ",
074609,,,,,,,,, 1 ," 1,878 ", 1 , 985 ,,,,,,,,,,,,, 1 ," 2,000 ", 1 ," 2,500 ",,,,,,,,,,, 1 ," 3,333 ",,,,,
074610,,,,,,,,,,,,, 1 ," 1,486 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074613,,,,,,,,,,,,,,, 1 , 888 , 1 ," 1,283 ",,, 6 ," 1,395 ", 2 ," 1,026 ", 1 ," 1,007 ", 2 ," 1,401 ", 2 ," 1,546 ",,, 2 ," 1,659 ", 1 ," 2,120 ", 1 ," 2,485 ", 2 ," 2,315 ", 2 ," 2,793 ",,,
074614, 2 ," 2,430 ", 6 ," 1,645 ", 7 ," 1,118 ", 1 , 937 , 3 ," 1,092 ", 4 ," 1,314 ", 3 ," 1,102 ", 2 ," 1,170 ", 2 ," 1,176 ", 3 ," 1,232 ", 3 ," 1,221 ", 3 ," 1,666 ", 4 ," 1,180 ", 9 ," 1,557 ", 2 ," 1,739 ", 2 ," 1,550 ", 2 ," 1,906 ", 2 ," 2,111 ", 3 ," 2,834 ", 6 ," 2,045 ",,, 1 ," 3,071 ",
074617, 1 ," 2,211 ", 2 ," 1,870 ",,,,,,,,, 1 , 665 ,,,,, 2 ," 1,467 ",,,,,,,,,,, 1 ," 2,246 ",,,,,,, 3 ," 2,687 ", 22 ,, 8 ,,
074619,,,,,,, 1 ,,,,,,,,,,,,,, 3 ," 1,018 ",,,,,,,,,,,,,,, 1 ," 1,046 ",,,,, 1 ," 3,200 ",
074620, 7 ," 1,099 ", 6 ," 1,328 ", 9 ," 1,084 ", 5 ," 1,205 ", 8 , 943 , 13 , 944 , 7 ," 1,040 ", 3 , 928 , 2 , 971 , 7 ," 1,085 ", 31 ," 1,510 ", 38 ," 1,524 ", 107 ," 1,222 ", 44 ," 1,428 ", 15 ," 1,455 ", 6 ," 1,501 ", 2 ," 1,486 ", 6 ," 2,018 ", 5 ," 2,218 ", 3 ," 2,360 ", 6 ," 2,543 ", 4 ," 2,786 ",
074625,,,,,,,,,,,,,,,,,,, 1 ," 1,442 ",,,,,,,,, 1 ," 2,212 ",,,,,,,,,,, 1 ," 4,016 ",,,
074626, 4 , 986 , 6 , 733 , 1 ," 1,973 ", 4 , 726 , 2 , 232 , 2 , 560 , 4 , 447 , 6 ," 1,048 ", 4 , 798 ,,, 5 , 738 , 3 ," 1,006 ", 7 ," 1,098 ", 4 ," 1,171 ", 5 , 983 , 4 ," 1,128 ", 7 ," 1,364 ", 8 ," 1,900 ", 4 ," 2,314 ", 2 ," 2,057 ", 6 ," 2,345 ", 3 ," 3,307 ",
074627, 2 ," 1,069 ", 2 , 996 , 3 ," 1,341 ", 1 , 994 ,,,,,,, 4 , 931 , 1 ," 1,167 ", 1 ," 1,336 ", 1 ," 1,389 ",,,,, 1 ," 1,537 ", 2 ," 1,348 ", 1 ," 1,542 ",,,,, 4 ," 2,079 ", 1 , 536 ,,,,,
074629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 3,232 ",,,,,
074630, 2 ," 1,367 ", 2 ," 1,105 ", 2 ," 1,048 ", 1 , 892 ,,, 1 ," 1,741 ", 2 ," 1,148 ",,,,,,, 5 , 947 ,,, 1 ," 1,326 ", 1 ," 1,464 ", 3 ," 1,764 ", 1 , 990 , 6 ," 2,162 ", 2 ," 2,269 ", 2 ," 1,932 ", 1 ," 3,071 ", 1 ," 2,529 ",,,
074632,,,,,,, 1 ," 1,751 ", 1 ," 1,667 ",,,,,,,,, 1 ," 2,443 ",,,,,,, 1 ," 2,662 ",,,,,,,,,,, 2 ," 2,063 ", 3 ," 4,268 ",,,
074633, 2 ," 2,007 ", 1 ," 2,455 ", 2 ," 1,870 ",,,,, 1 ," 1,570 ",,, 1 ," 1,525 ",,, 1 ," 1,659 ", 1 ," 1,843 ",,, 1 ," 1,891 ",,,,, 1 ," 3,797 ", 1 ," 2,376 ", 1 ," 2,502 ", 1 ," 2,966 ", 1 ," 4,074 ",,, 1 ," 4,607 ",
074634, 1 ," 2,858 ",,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 1,398 ",,,,,,,,,,,,,,,,,
074637, 1 ," 2,250 ",,, 1 ," 2,182 ",,, 1 , 870 ,,,,,,, 1 ,, 1 ,,,, 1 , 565 ,,,,, 1 ," 1,792 ", 2 ," 2,282 ", 1 ," 2,599 ", 1 ," 2,528 ",,,,,,,,,
074642, 1 ," 2,252 ",,,,, 1 ," 1,556 ",,,,, 1 ," 1,867 ", 1 ," 1,828 ", 1 ," 1,722 ",,,,,,, 1 ," 2,169 ", 1 ," 2,679 ",,,,,,, 4 ," 2,993 ",,, 3 ," 3,303 ", 1 ," 4,627 ",,,
074643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 1,959 ",,,,,,,,,,,
074645,,,,,,,,,,, 1 ," 1,889 ",,,,,,,,,,,,, 2 ," 1,207 ",,,,, 1 ," 2,452 ",,,,, 1 ," 4,444 ",,,,,,,
075001, 13 , 558 , 3 , 869 , 1 , 618 ,,, 3 , 749 , 2 , 549 , 2 , 577 ,,, 1 , 928 , 1 , 939 , 10 ," 1,874 ", 6 ," 1,878 ", 2 ," 2,017 ",,,,, 4 ," 3,407 ", 1 ," 4,833 ", 3 ," 4,220 ", 2 ," 4,456 ", 1 ," 3,400 ", 2 ," 4,200 ",,,
075002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 11 ," 6,578 ", 1 ," 6,595 ",,,
