ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_A;E_AM;E_AW;E_A00_01;E_A01_02;E_A02_03;E_A03_05;E_A05_06;E_A06_07;E_A07_08;E_A08_10;E_A10_12;E_A12_14;E_A14_15;E_A15_18;E_A18_21;E_A21_25;E_A25_27;E_A27_30;E_A30_35;E_A35_40;E_A40_45;E_A45_50;E_A50_55;E_A55_60;E_A60_63;E_A63_65;E_A65_67;E_A67_70;E_A70_75;E_A75_80;E_A80_85;E_A85_90;E_A90_95;E_A95_110;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110
200212;10010310;10;01;03;10;2;467;234;233;6;0;12;0;4;3;0;16;16;15;15;18;18;13;19;42;64;72;44;42;27;3;6;6;0;3;0;0;0;0;0;3;6;16;65;18;31;310;15;3;3
200212;10010311;10;01;03;11;2;77;52;25;3;0;0;3;0;0;3;0;3;6;0;0;3;6;3;3;9;7;10;6;6;0;3;0;3;0;0;0;0;0;0;0;3;3;12;0;9;44;3;3;0
200212;10020412;10;02;04;12;2;271;145;126;0;6;0;0;3;3;0;3;9;0;0;19;3;36;6;24;49;40;33;15;12;3;3;4;0;0;0;0;0;0;0;0;0;9;15;19;39;179;10;0;0
200212;10020413;10;02;04;13;2;287;166;121;0;0;0;6;3;0;6;3;6;3;0;4;12;15;18;26;49;45;30;28;9;0;6;0;3;0;3;9;0;0;3;0;0;9;18;4;27;205;6;15;3
200212;10020414;10;02;04;14;2;67;41;26;0;0;0;0;0;0;3;3;0;3;0;3;0;10;0;7;16;9;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;3;10;45;0;0;0
200212;10020415;10;02;04;15;2;145;75;70;0;3;0;0;3;0;0;3;0;4;0;6;3;18;6;18;27;15;15;3;15;3;0;0;0;3;0;0;0;0;0;0;0;6;7;6;21;99;3;3;0
200212;10020416;10;02;04;16;2;164;81;83;0;0;3;7;0;3;0;3;3;3;0;0;10;9;12;9;35;22;15;9;6;6;0;0;0;3;0;3;0;0;0;3;0;10;12;0;19;108;6;6;3
200212;10020517;10;02;05;17;2;184;91;93;0;0;3;6;6;0;0;9;6;7;0;3;0;17;6;3;28;28;27;17;9;6;0;0;3;0;0;0;0;0;0;0;0;15;22;3;17;118;6;3;0
200212;10020518;10;02;05;18;2;120;74;46;0;0;0;3;0;6;0;3;7;0;0;3;3;6;6;12;15;19;15;13;6;0;0;3;0;0;0;0;0;0;0;0;0;3;16;3;9;86;3;0;0
200212;10020519;10;02;05;19;2;103;64;39;0;0;0;3;3;0;6;0;0;3;3;6;3;3;3;15;7;18;12;9;3;6;0;0;0;0;0;0;0;0;0;0;0;6;12;6;6;67;6;0;0
200212;10020620;10;02;06;20;2;103;52;51;3;0;3;0;0;0;0;0;3;0;0;0;3;13;9;12;21;9;9;6;3;6;0;0;0;0;3;0;0;0;0;0;3;3;3;0;16;69;6;3;0
200212;10020621;10;02;06;21;2;167;105;62;0;3;6;3;3;7;4;3;3;0;6;3;6;0;3;26;37;16;14;9;3;6;0;0;3;0;0;3;0;0;0;0;0;15;23;3;6;108;6;6;0
200212;10020622;10;02;06;22;2;647;332;315;10;15;9;31;0;0;6;15;18;12;9;21;35;41;30;58;90;63;63;36;19;16;9;6;15;6;8;3;3;0;0;0;10;55;60;21;76;359;31;32;3
200212;10020623;10;02;06;23;2;125;68;57;0;0;0;3;0;3;0;0;3;0;0;3;6;16;3;15;21;15;9;13;9;3;0;0;3;0;0;0;0;0;0;0;0;3;6;3;22;85;3;3;0
200212;10030724;10;03;07;24;2;970;465;505;0;15;22;27;20;15;17;41;47;32;12;39;63;179;75;97;87;71;39;33;6;9;3;3;0;9;3;0;6;0;0;0;0;84;164;39;242;408;15;12;6
200212;10030725;10;03;07;25;2;266;156;110;0;0;3;13;0;0;3;3;3;0;0;39;39;25;18;21;31;15;21;10;3;4;0;3;3;3;3;3;0;0;0;0;0;16;9;39;64;119;7;12;0
200212;10030726;10;03;07;26;2;37;22;15;0;0;0;0;0;0;3;0;0;0;0;3;0;3;0;0;9;6;3;4;3;0;3;0;0;0;0;0;0;0;0;0;0;0;3;3;3;25;3;0;0
200212;10030727;10;03;07;27;2;110;71;39;0;3;0;3;0;0;0;3;0;0;0;12;3;6;9;3;19;12;10;9;6;6;0;3;0;0;3;0;0;0;0;0;0;6;3;12;9;68;9;3;0
200212;10040828;10;04;08;28;2;95;59;36;0;0;0;3;0;0;0;0;0;6;0;0;0;9;6;0;9;23;18;12;6;3;0;0;0;0;0;0;0;0;0;0;0;3;6;0;9;74;3;0;0
200212;10040829;10;04;08;29;2;46;27;19;0;0;0;0;0;0;0;0;3;0;0;0;0;10;0;6;6;6;6;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;10;33;0;0;0
200212;10040830;10;04;08;30;2;89;45;44;0;0;0;0;0;0;0;0;3;0;0;3;0;11;0;6;13;13;12;9;3;6;4;3;0;0;0;3;0;0;0;0;0;0;3;3;11;56;13;3;0
200212;10040931;10;04;09;31;2;115;55;60;3;0;0;0;0;0;3;0;3;0;0;3;6;0;3;13;12;30;9;6;9;6;3;3;0;0;0;0;3;0;0;0;3;0;6;3;6;82;12;0;3
200212;10040932;10;04;09;32;2;43;22;21;0;0;0;0;0;0;0;0;6;0;3;0;0;0;3;6;10;0;3;6;3;0;0;3;0;0;0;0;0;0;0;0;0;0;9;0;0;31;3;0;0
200212;10040933;10;04;09;33;2;141;73;68;0;0;0;0;4;0;3;0;3;3;4;0;3;15;6;16;21;18;15;15;6;3;3;0;3;0;0;0;0;0;0;0;0;4;13;0;18;97;6;3;0
200212;11010101;11;01;01;01;2;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
200212;11010102;11;01;01;02;2;40;25;15;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;9;6;6;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;34;0;0;0
200212;11010103;11;01;01;03;2;12;9;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9;0;0;0
200212;11010204;11;01;02;04;2;557;287;270;12;3;10;7;9;12;12;32;12;6;3;30;24;9;31;25;78;76;83;48;16;3;3;4;0;3;0;0;6;0;0;0;12;29;77;30;33;357;10;3;6
200212;11010205;11;01;02;05;2;374;194;180;3;0;0;6;6;12;0;16;20;6;3;19;12;27;15;30;50;30;38;48;18;9;0;0;3;0;3;0;0;0;0;0;3;12;57;19;39;229;9;6;0
200212;11010206;11;01;02;06;2;218;103;115;0;0;0;10;0;3;6;10;12;0;9;9;6;22;6;18;26;34;24;7;0;10;0;3;0;0;0;0;0;3;0;0;0;10;40;9;28;115;13;0;3
200212;11010207;11;01;02;07;2;303;146;157;0;3;6;6;0;3;3;3;19;6;0;3;12;19;9;18;55;49;39;17;12;6;3;3;0;3;3;3;0;0;0;0;0;15;34;3;31;199;12;9;0
200212;11010308;11;01;03;08;2;525;291;234;0;6;3;15;4;15;14;13;27;6;9;16;18;25;33;39;71;71;61;37;24;3;0;3;3;3;6;0;0;0;0;0;0;28;84;16;43;336;6;12;0
200212;11010309;11;01;03;09;2;605;316;289;0;6;6;26;6;6;13;20;30;13;4;33;30;31;15;33;78;65;87;39;28;15;9;3;3;6;0;0;0;0;0;0;0;44;86;33;61;345;27;9;0
200212;11010310;11;01;03;10;2;114;59;55;0;0;4;6;3;3;0;9;9;0;0;10;0;3;0;4;9;19;7;6;6;0;0;0;0;0;13;0;3;0;0;0;0;13;21;10;3;51;0;13;3
200212;11020411;11;02;04;11;2;465;249;216;6;12;6;15;7;13;16;25;16;19;9;35;13;24;19;33;43;48;43;23;19;9;3;0;0;3;3;3;0;0;0;0;6;40;98;35;37;228;12;9;0
200212;11020412;11;02;04;12;2;902;606;296;7;0;3;4;3;9;9;13;9;19;6;15;77;101;47;84;152;146;90;51;25;16;3;3;0;3;7;0;0;0;0;0;7;10;65;15;178;595;22;10;0
200212;11020513;11;02;05;13;2;77;41;36;0;0;0;6;0;0;0;0;0;3;0;0;6;3;3;12;9;16;6;6;0;4;0;0;0;0;0;3;0;0;0;0;0;6;3;0;9;52;4;3;0
